Country,Issuer,Denomination,Subject,Krause Number,Year,Mintmark,Grade,"Value, USD (CoinSnap) ",Composition,Obverse photo,Reverse photo,Value (MY),Note,Custom set
France,France,10 centimes,Common series,KM# 929,1990,No mintmark,XF,$ 0.15,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/d3497d43-bd22-4c65-abe5-a5d300e30325.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/fda521eb-ef9e-472d-bee0-eb37ad6db242.png,,,
France,France,50 centimes,Common series,KM# 884,1924,No mintmark,VF,$ 0.74,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/657409d9-57bd-4c2f-bf81-aa85723efff2.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/6bc45836-4578-4cda-9d81-f8b5f136dfbf.png,,,
France,France,1 franc,Common series,KM# 925,1970,No mintmark,XF,$ 0.38,Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/6391e7da-97cc-4e3c-b3db-8214c90ff88e.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/8805c37d-ef81-4c68-b0ca-751a3db4bef7.png,,,
France,France,1 franc,Common series,KM# 925,1977,No mintmark,AU,$ 0.22,Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/d41e27d2-b978-4a6d-95c0-de9a4dc4e6fe.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/c49d643d-b2a4-4d52-8b64-43ff440d9c6e.png,,,
France,France,20 centimes,Common series,KM# 930,1992,Alignment ↑↓,AU,$ 0.17,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/30ddf7d1-7730-4a56-b6df-a9540c71a54c.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/cfd72b9e-bba2-4a54-ae49-9328bd26f95a.png,,,
France,France,10 francs,Common series,KM# 964,1991,Smooth edge Proof,AU,$ 20.0,"Bi-Metallic: Nickel center, Aluminium-Bronze ring",https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/7d1c1006-7df1-464e-82e5-99cde2dbb53f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/ef711d34-75b9-42c3-bfbd-63ef1c53b091.png,,,
France,France,1 franc,Common series,KM# 925,1977,No mintmark,AU,$ 0.22,Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/41f9b531-7512-46d6-8080-d381aa7c434e.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/f43302d2-9548-49e2-add8-65eff7ca2fa3.png,,,
France,France,2 francs,Common series,KM# 942.1,1981,No mintmark,VF,$ 0.41,Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/c8a7a528-8d2f-4cf3-bbe3-04b96ca98779.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/fb12623c-e5b6-4983-bdbc-62468484f60d.png,,,
France,France,1 franc,Common series,KM# 925,1965,No mintmark,AU,$ 0.21,Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/d7f84aac-dbeb-47a3-8836-eb2de8bb1b31.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/3e4a52cc-8a10-40fc-a2b8-af34c3b424aa.png,,,
France,France,1 franc,Common series,,1932,No mintmark,VF,$ 0.34,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/56f2faf8-4079-44ef-8aa8-97d62c28fd11.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/6d8cafda-7163-4ed6-a2bd-e4b84d9fb78b.png,,,
